ParticleID,Ref1,Ref2,Ref3,Dist1,Dist2,Dist3
3,8,10,6,224,116,254
113,8,10,6,231,55,210
42,8,10,6,-,-,-
4,8,10,6,-,-,-
105,8,10,6,-,-,-
25,8,10,6,228,88,205
30,8,10,6,176,114,173
99,8,10,6,259,69,219
33,8,10,6,193,112,184
117,8,10,6,233,49,192
26,8,10,6,189,155,209
54,8,10,6,230,97,218
55,8,10,6,-,-,-
71,8,10,6,-,-,-
51,8,10,6,-,-,-
80,8,10,6,-,-,-
63,8,10,6,200,86,171
87,8,10,6,-,-,-
1050,8,10,6,-,-,-
1026,8,10,6,-,-,-
1055,8,10,6,123,171,135
1037,8,10,6,-,-,-
7,8,10,6,176,111,124
44,8,10,6,172,114,142
13,8,10,6,224,59,176
16,8,10,6,185,96,138
112,8,10,6,141,150,87
32,8,7,6,88,35,49
59,8,10,6,-,-,-
57,8,10,6,90,174,106
104,8,10,6,215,78,186
127,8,10,6,185,95,145
134,8,10,6,144,141,119
79,8,10,6,130,155,85
1017,8,10,6,146,137,100
1036,8,10,6,121,164,109
1044,8,10,6,160,124,128
1065,8,10,6,150,132,114
22,17,15,16,-,-,-
114,17,15,16,145,278,58
90,17,15,16,95,302,109
19,17,15,16,94,361,162
106,17,15,16,112,343,107
49,17,15,16,109,309,103
128,17,15,16,164,282,41
47,17,15,16,,,
39,17,15,16,105,340,130
120,17,15,16,121,259,81
60,17,15,16,121,259,81
130,17,15,16,94,329,128
123,17,15,16,148,427,221
124,17,15,16,,,
81,17,15,16,112,341,119
1006,17,15,16,108,339,120
1011,17,15,16,,,
1048,17,15,16,75,318,134
1062,17,15,16,166,174,134
8,21,20,22,155,38,178
2,21,20,22,151,72,140
43,21,20,22,-,-,-
15,21,20,22,129,61,186
94,21,20,22,132,65,199
95,21,20,22,156,62,228
109,21,20,22,161,70,142
66,21,20,22,-,-,-
73,21,20,22,-,-,-
129,21,20,22,131,92,234
70,21,20,22,164,73,140
58,21,20,22,116,71,175
136,21,20,22,151,64,226
1039,21,20,22,132,78,142
1005,21,20,22,-,-,-
1031,21,20,22,132,78,142
1010,21,20,22,-,-,-
1,31,29,28,155,202,97
41,31,29,28,183,172,99
17,31,29,28,152,182,114
29,31,29,28,191,192,73
14,31,29,28,-,-,-
119,31,29,28,205,195,60
45,31,29,28,181,153,112
20,31,29,28,210,187,67
34,31,29,28,184,224,64
64,31,29,28,200,191,66
56,31,29,28,183,218,62
78,31,29,28,128,194,113
1002,31,29,28,-,-,-
1014,31,29,28,-,-,-
1043,31,29,28,-,-,-
1058,31,29,28,-,-,-
